Domener;Primdomene;Redir
aasanestorsenter.no;x;
amfi.no;x;
amfi-eikunda.no;;https://amfi.no/amfi-eikunda/
amfi-madla.no;;https://amfi.no/amfi-madla/
amfi-moa.no;;https://amfi.no/amfi-moa/
amfialta.no;;https://amfi.no/amfi-alta/
amfielverum.no;;https://amfi.no/amfi-elverum/
amfimadla.no;;https://amfi.no/amfi-madla/
amfimoa.no;;https://amfi.no/amfi-moa/
amfiroseby.no;;https://amfi.no/amfi-roseby/
amfisteinkjer.no;;https://amfi.no/amfi-steinkjer/
arkaden.no;x;
aasanesenter.no;;https://aasanestorsenter.no
bergen-storsenter.no;;https://bergenstorsenter.no
bergenstorsenter.no;x;
bjorneparkenkjopesenter.no;x;
charlottenbergshopping.com;;https://charlottenbergsshopping.se
charloggenbergshopping.se;;https://charlottenbergsshopping.se
charlottenbergsshopping.com;;https://charlottenbergsshopping.se
charlottenbergsshopping.se;x;
citysyd.no;x;
etageshopping.com;;https://etageshopping.se
etageshopping.org;;https://etageshopping.se
etageshopping.se;x;
familiakopcentrum.com;;https://familiakopcentrum.nu
familiakopcentrum.nu;;https://familiakopcentrum.nu
familiakopcentrum.se;x;
gronlandbasar.com;;https://gronlandbasar.no
gronlandbasar.no;x;
gunerius.com;;https://gunerius.no
gunerius.no;x;
holmensenter.no;x;
jessheim-storsenter.no;;https://jessheimstorsenter.no
jessheimstorsenter.no;x;
lagunen.no;x;
lagunenstorsenter.no;;https://lagunen.no
lompensenteret.no;x;
mirium.nu;;https://mirumgalleria.se
miriumgalleria.nu;;https://mirumgalleria.se
miriumgalleria.org;;https://mirumgalleria.se
miriumgalleria.se;x;
mitticity.com;x;
mitticity.org;;https://mitticity.com
mitticity.se;;https://mitticity.com
moa.no;;https://amfi.no/amfi-moa/
moldestorsenter.no;x;
moldetorget.no;x;
mosseporten.no;x;
mosseportensenter.no;;https://mosseporten.no
namsosstorsenter.no;x;
narvikstorsenter.no;x;
oasen-storsenter.no;;https://oasenstorsenter.no
oasen.no;;https://oasenstorsenter.no
oasenstorsenter.no;x;
osteras-senter.no;x;
ostfoldhallene.no;x;
romerikssenteret.no;x;
rygge-storsenter.no;;https://ryggestorsenter.no
ryggestorsenter.no;x;
sandens.no;x;
sartorsenter.com;;https://sartorstorsenter.no
sartorsenter.no;;https://sartorstorsenter.no
sartorstorsenter.com;;https://sartorstorsenter.no
sartorstorsenter.no;x;
sandvikastorsenter.no;x;
sentersyd.no;x;
skistorsenter.no;x;
sollentunacentrum.com;;https://sollentunacentrum.se
sollentunacentrum.nu;;https://sollentunacentrum.se
sollentunacentrum.org;;https://sollentunacentrum.se
sollentunacentrum.se;x;
sorlandssenteret.no;x;
storosenter.no;;https://storostorsenter.no
storosenteret.no;;https://storostorsenter.no
storoshopping.no;;https://storostorsenter.no
storostorsenter.no;x;
strommenstorsenter.no;x;
thonshopping.no;x;
thonshopping.se;x;
tillertorget.no;x;
tillertorget.com;;https://tillertorget.no
tockforsshopping.se;x;
tockforsshoppingscenter.se;;https://tockforsshopping.se
triaden.no;x;
vestkanten.no;x;
vestkantenstorsenter.no;;https://vestkanten.no
bjørneparkenkjøpesenter.no;;https://bjorneparkenkjopesenter.no
grønlandbasar.no;;https://gronlandbasar.no
østerås-senter.no;;https://osteras-senter.no
torp.nu;;https://torp.se
torp.se;x;
torpkopcentrum.com;;https://torp.se
torpkopcentrum.eu;;https://torp.se
torpkjopcentrum.info;;https://torp.se
toprkkopcentrum.nu;;https://torp.se
torpkopcentrum.org;;https://torp.se
torpkopcentrum.se;;https://torp.se
torpshopping.com;;https://torp.se
torpshopping.info;;https://torp.se
torpshopping.nu;;https://torp.se
torpshopping.org;;https://torp.se
torpshopping.se;;https://torp.se
